1;2
pchol_hs[c];ABCA1
h2o[c];ABCB4
pchol_hs[c];ABCB4
prostge1[c];ABCC4
prostge2[c];ABCC4
na1[c];SLC6A4
srtn[c];SLC6A4
k[e];SLC6A4
tststeroneglc[c];ABCC1
citr_L[e];SLC7A2
creat[e];SLC6A8
orn[c];SLC7A9
citr_L[e];SLC7A9
C02528[c];ABCC2
dgchol[c];ABCB11
tdchola[c];ABCB11
arachd[c];ABCA1
hdca[c];ABCA1
ocdcea[c];ABCA1
strdnc[c];ABCA1
lnlc[c];ABCA1
elaid[c];ABCA1
lnlncg[c];ABCA1
lnlnca[c];ABCA1
lgnc[c];ABCA1
hdcea[c];ABCA1
dlnlcg[c];ABCA1
HC02154[c];ABCA1
dca[c];ABCA1
ttdca[c];ABCA1
h2o[c];ABCC5
gthrd[c];ABCC5
HC02199[c];ABCC5
HC02200[c];ABCC5
HC02201[c];ABCC5
urate[c];ABCC4
met_L[c];SLC7A5
trp_L[e];SLC7A5
tyr_L[e];SLC7A5
hom_L[e];SLC7A5
ile_L[e];SLC7A5
trp_L[c];SLC7A5
phe_L[e];SLC7A5
pro_L[e];SLC7A5
phe_L[c];SLC7A5
tyr_L[c];SLC7A5
leu_L[e];SLC7A5
lys_L[c];SLC7A6
orn[e];SLC7A6
orn[c];SLC7A6
his_L[e];SLC7A6
his_L[c];SLC7A6
citr_L[e];SLC7A6
na1[e];SLC7A6
trp_L[c];SLC7A6
met_L[e];SLC7A6
tyr_L[c];SLC7A6
leu_L[c];SLC7A6
hom_L[c];SLC7A6
ile_L[c];SLC7A6
met_L[c];SLC7A6
trp_L[e];SLC7A6
phe_L[c];SLC7A6
pro_L[c];SLC7A6
phe_L[e];SLC7A6
tyr_L[e];SLC7A6
leu_L[e];SLC7A6
pro_L[e];SLC7A6
hom_L[e];SLC7A6
ile_L[e];SLC7A6
gly[e];SLC7A6
ala_L[e];SLC7A6
gln_L[e];SLC7A6
ser_L[e];SLC7A6
citr_L[c];SLC7A6
cys_L[e];SLC7A6
asn_L[e];SLC7A6
val_L[e];SLC7A6
thr_L[e];SLC7A6
gly[c];SLC7A9
orn[e];SLC7A9
gln_L[c];SLC7A9
ser_L[c];SLC7A9
met_L[c];SLC7A9
trp_L[c];SLC7A9
tyr_L[c];SLC7A9
cys_L[c];SLC7A9
asn_L[c];SLC7A9
thr_L[c];SLC7A9
hom_L[c];SLC7A9
ile_L[c];SLC7A9
his_L[e];SLC7A9
phe_L[c];SLC7A9
leu_L[c];SLC7A9
pro_L[c];SLC7A9
val_L[c];SLC7A9
pyr[c];SLC16A1
acac[e];SLC16A1
ac[c];SLC16A1
for[c];SLC16A1
ppa[c];SLC16A1
lac_L[c];SLC16A1
retn[c];SLC16A1
2hb[e];SLC16A1
akg[e];SLC16A1
ac[e];SLC16A1
for[e];SLC16A1
ppa[e];SLC16A1
lac_L[e];SLC16A1
but[e];SLC16A1
retn[e];SLC16A1
bhb[e];SLC16A1
akg[c];SLC16A1
acac[c];SLC16A1
but[c];SLC16A1
hco3[e];SLCO1A2
cholate[c];SLCO1A2
gthrd[e];SLCO1A2
hco3[c];SLCO1A2
cholate[e];SLCO1A2
HC02199[c];SLCO1A2
HC02200[c];SLCO1A2
HC02201[c];SLCO1A2
gchola[e];SLCO1A2
C02528[e];SLCO1A2
tchola[e];SLCO1A2
tdchola[e];SLCO1A2
HC02192[e];SLCO1A2
HC02193[e];SLCO1A2
HC02195[e];SLCO1A2
HC02196[e];SLCO1A2
HC02220[e];SLCO1A2
bilirub[c];SLCO1A2
prostge2[c];SLCO1A2
hco3[e];SLCO1B1
bildglcur[c];SLCO1B1
gthrd[e];SLCO1B1
bilglcur[c];SLCO1B1
bilirub[e];SLCO1A2
thyox_L[e];SLCO1A2
triodthy[e];SLCO1A2
prostge2[e];SLCO1A2
hco3[c];SLCO1B1
arachd[e];SLCO1B1
HC02199[c];SLCO1B1
HC02200[c];SLCO1B1
HC02201[c];SLCO1B1
leuktrC4[e];SLCO1B1
estrones[e];SLCO1B1
dheas[e];SLCO1B1
bildglcur[e];SLCO1B1
leuktrA4[e];SLCO1B1
leuktrB4[e];SLCO1B1
leuktrE4[e];SLCO1B1
leuktrF4[e];SLCO1B1
bilglcur[e];SLCO1B1
prostgd2[e];SLCO1B1
prostge1[e];SLCO1B1
prostgf2[e];SLCO1B1
prostgh2[e];SLCO1B1
prostgi2[e];SLCO1B1
nrpphr[c];SLCO1A2
srtn[c];SLCO1A2
ach[c];SLCO1A2
dopa[c];SLCO1A2
hco3[e];SLCO2A1
arachd[c];SLCO2A1
gthrd[e];SLCO2A1
leuktrA4[c];SLCO2A1
prostge1[c];SLCO2A1
prostgf2[c];SLCO2A1
zn2[c];SLC30A1
HC02198[c];ABCC1
his_L[e];SLC7A1
ala_L[c];SLC3A1
orn[e];SLC3A1
ala_L[c];SLC7A9
leu_L[c];SLC3A1
phe_L[c];SLC3A2
tyr_L[e];SLC3A2
phe_L[c];SLC7A8
tyr_L[e];SLC7A8
avite1[c];ABCA1
fe3[c];SLC40A1
glc_D[c];SLC2A2
pheme[c];FLVCR1
pheme[c];SLC46A1
5hoxindoa[c];SLC4A1
so4[e];SLC4A1
Lkynr[c];SLC7A8
phe_L[e];SLC7A8
Lkynr[c];SLC43A1
leu_L[e];SLC43A1
thymd[e];SLC29A1
thymd[e];SLC29A2
hLkynr[c];SLC7A5
quln[c];SLC22A6
so4[e];SLC22A6
cl[e];CFTR
na1[e];SLC22A16
crn[e];SLC22A16
h2o[c];ABCC11
dheas[c];ABCC11
estrones[c];ABCC11
fol[c];ABCB4
fol[c];ABCC1
fol[c];ABCC11
fol[c];ABCC2
fol[c];ABCC4
fol[c];ABCC5
h2o[c];ABCG2
fol[c];ABCG2
h2o[c];ABCA3
pglyc_hs[c];ABCA3
pheme[c];ABCG2
ps_hs[c];ABCA1
camp[c];ABCC11
camp[c];ABCC4
camp[c];ABCC5
35cgmp[c];ABCC11
35cgmp[c];ABCC4
35cgmp[c];ABCC5
gchola[c];ABCB11
gchola[c];ABCC11
gchola[c];ABCC3
h2o[c];SLC52A1
ribflv[c];SLC52A1
h2o[c];SLC52A2
ribflv[c];SLC52A2
tchola[c];ABCB11
tchola[c];ABCC11
tchola[c];ABCC3
k[c];ABCC8
k[c];ABCC9
k[c];KCNJ11
k[c];KCNJ8
chsterol[c];ABCA1
h2o[c];ABCG5
chsterol[c];ABCG5
h2o[c];ABCG8
chsterol[c];ABCG8
na1[e];SLC22A5
acrn[e];SLC22A5
na1[c];SLC22A5
pcrn[c];SLC22A5
lneldccrn[c];SLC22A5
odecrn[c];SLC22A5
stcrn[c];SLC22A5
pmtcrn[c];SLC22A5
hdcecrn[c];SLC22A5
na1[e];SLC13A3
C02712[e];SLC13A3
HC02191[c];ABCB11
HC02191[c];ABCC11
HC02191[c];ABCC3
na1[e];SLC10A1
HC02191[e];SLC10A1
dchac[c];ABCB11
dchac[c];ABCC11
dchac[c];ABCC3
tdechola[c];ABCB11
tdechola[c];ABCC11
tdechola[c];ABCC3
CE1273[c];ABCB11
CE1273[c];ABCC11
CE1273[c];ABCC3
HC02194[c];ABCB11
HC02194[c];ABCC2
HC02194[c];ABCC3
HC02194[c];ABCC4
HC02220[c];ABCC2
HC02220[c];ABCC3
HC02220[c];ABCC4
HC02220[c];ABCG2
akg[c];SLC22A8
homoval[e];SLC22A8
ddca[e];SLC27A2
dhcholestanate[c];ABCB11
dhcholestanate[c];ABCC11
dhcholestanate[c];ABCC3
dhcholestanate[e];SLC10A1
thcholstoic[c];ABCB11
thcholstoic[c];ABCC11
thcholstoic[c];ABCC3
thcholstoic[e];SLC10A1
xol7ah3[c];ABCB11
xol7ah3[c];ABCC11
xol7ah3[c];ABCC3
xol7ah3[e];SLC10A1
xol7aone[c];ABCB11
xol7aone[c];ABCC11
xol7aone[c];ABCC3
xol7aone[e];SLC10A1
xoldiolone[c];ABCB11
xoldiolone[c];ABCC11
xoldiolone[c];ABCC3
7klitchol[c];ABCB11
7klitchol[c];ABCC11
7klitchol[c];ABCC3
7klitchol[e];SLC10A1
arg_L[c];SLC7A6
na1[e];SLC6A5
cl[e];SLC6A5
CE4970[e];SLC6A5
CE2026[e];SLC6A5
CE4968[e];SLC6A5
ak2lgchol_hs[c];ABCA1
ak2lgchol_hs[c];ABCB4
h2o[c];ATP10A
ak2lgchol_hs[c];ATP10A
h2o[c];ATP8B1
ak2lgchol_hs[c];ATP8B1
h2o[c];ATP8B2
ak2lgchol_hs[c];ATP8B2
paf_hs[c];ABCA1
paf_hs[c];ABCB4
paf_hs[c];ATP10A
paf_hs[c];ATP8B1
paf_hs[c];ATP8B2
pcholn226_hs[c];ABCA1
pcholn226_hs[c];ABCB4
pcholn226_hs[c];ATP10A
pcholn226_hs[c];ATP8B1
pcholn226_hs[c];ATP8B2
pchol2linl_hs[c];ABCA1
pchol2linl_hs[c];ABCB4
pchol2linl_hs[c];ATP10A
pchol2linl_hs[c];ATP8B1
pchol2linl_hs[c];ATP8B2
pchol2ole_hs[c];ABCA1
pchol2ole_hs[c];ABCB4
pchol2ole_hs[c];ATP10A
pchol2ole_hs[c];ATP8B1
pchol2ole_hs[c];ATP8B2
pchol2ste_hs[c];ABCA1
pchol2ste_hs[c];ABCB4
pchol2ste_hs[c];ATP10A
pchol2ste_hs[c];ATP8B1
pchol2ste_hs[c];ATP8B2
pcholar_hs[c];ABCA1
pcholar_hs[c];ABCB4
pcholar_hs[c];ATP10A
pcholar_hs[c];ATP8B1
pcholar_hs[c];ATP8B2
pcholdoc_hs[c];ABCA1
pcholdoc_hs[c];ABCB4
pcholdoc_hs[c];ATP10A
pcholdoc_hs[c];ATP8B1
pcholdoc_hs[c];ATP8B2
pcholeic_hs[c];ABCA1
pcholeic_hs[c];ABCB4
pcholeic_hs[c];ATP10A
pcholeic_hs[c];ATP8B1
pcholeic_hs[c];ATP8B2
pcholet_hs[c];ABCA1
pcholet_hs[c];ABCB4
pcholet_hs[c];ATP10A
pcholet_hs[c];ATP8B1
pcholet_hs[c];ATP8B2
pcholhep_hs[c];ABCA1
pcholhep_hs[c];ABCB4
pcholhep_hs[c];ATP10A
pcholhep_hs[c];ATP8B1
pcholhep_hs[c];ATP8B2
pchollinl_hs[c];ABCA1
pchollinl_hs[c];ABCB4
pchollinl_hs[c];ATP10A
pchollinl_hs[c];ATP8B1
pchollinl_hs[c];ATP8B2
pcholmyr_hs[c];ABCA1
pcholmyr_hs[c];ABCB4
pcholmyr_hs[c];ATP10A
pcholmyr_hs[c];ATP8B1
pcholmyr_hs[c];ATP8B2
pcholn15_hs[c];ABCA1
pcholn15_hs[c];ABCB4
pcholn15_hs[c];ATP10A
pcholn15_hs[c];ATP8B1
pcholn15_hs[c];ATP8B2
pcholn183_hs[c];ABCA1
pcholn183_hs[c];ABCB4
pcholn183_hs[c];ATP10A
pcholn183_hs[c];ATP8B1
pcholn183_hs[c];ATP8B2
pcholn1836_hs[c];ABCA1
pcholn1836_hs[c];ABCB4
pcholn1836_hs[c];ATP10A
pcholn1836_hs[c];ATP8B1
pcholn1836_hs[c];ATP8B2
pcholn19_hs[c];ABCA1
pcholn19_hs[c];ABCB4
pcholn19_hs[c];ATP10A
pcholn19_hs[c];ATP8B1
pcholn19_hs[c];ATP8B2
pcholn201_hs[c];ABCA1
pcholn201_hs[c];ABCB4
pcholn201_hs[c];ATP10A
pcholn201_hs[c];ATP8B1
pcholn201_hs[c];ATP8B2
pcholn203_hs[c];ABCA1
pcholn203_hs[c];ABCB4
pcholn203_hs[c];ATP10A
pcholn203_hs[c];ATP8B1
pcholn203_hs[c];ATP8B2
pcholn204_hs[c];ABCA1
pcholn204_hs[c];ABCB4
pcholn204_hs[c];ATP10A
pcholn204_hs[c];ATP8B1
pcholn204_hs[c];ATP8B2
pcholn205_hs[c];ABCA1
pcholn205_hs[c];ABCB4
pcholn205_hs[c];ATP10A
pcholn205_hs[c];ATP8B1
pcholn205_hs[c];ATP8B2
pcholn224_hs[c];ABCA1
pcholn224_hs[c];ABCB4
pcholn224_hs[c];ATP10A
pcholn224_hs[c];ATP8B1
pcholn224_hs[c];ATP8B2
pcholn225_hs[c];ABCA1
pcholn225_hs[c];ABCB4
pcholn225_hs[c];ATP10A
pcholn225_hs[c];ATP8B1
pcholn225_hs[c];ATP8B2
pcholn2254_hs[c];ABCA1
pcholn2254_hs[c];ABCB4
pcholn2254_hs[c];ATP10A
pcholn2254_hs[c];ATP8B1
pcholn2254_hs[c];ATP8B2
pcholn24_hs[c];ABCA1
pcholn24_hs[c];ABCB4
pcholn24_hs[c];ATP10A
pcholn24_hs[c];ATP8B1
pcholn24_hs[c];ATP8B2
pcholole_hs[c];ABCA1
pcholole_hs[c];ABCB4
pcholole_hs[c];ATP10A
pcholole_hs[c];ATP8B1
pcholole_hs[c];ATP8B2
pcholpalme_hs[c];ABCA1
pcholpalme_hs[c];ABCB4
pcholpalme_hs[c];ATP10A
pcholpalme_hs[c];ATP8B1
pcholpalme_hs[c];ATP8B2
pcholste_hs[c];ABCA1
pcholste_hs[c];ABCB4
pcholste_hs[c];ATP10A
pcholste_hs[c];ATP8B1
pcholste_hs[c];ATP8B2
h2o[c];ATP11A
pe12_hs[c];ATP11A
h2o[c];ATP11C
pe12_hs[c];ATP11C
pe13_hs[c];ATP11A
pe13_hs[c];ATP11C
pe14_hs[c];ATP11A
pe14_hs[c];ATP11C
pe15_hs[c];ATP11A
pe15_hs[c];ATP11C
pe161_hs[c];ATP11A
pe161_hs[c];ATP11C
pe17_hs[c];ATP11A
pe17_hs[c];ATP11C
pe203_hs[c];ATP11A
pe203_hs[c];ATP11C
pe226_hs[c];ATP11A
pe226_hs[c];ATP11C
pe2linl_hs[c];ATP11A
pe2linl_hs[c];ATP11C
pear_hs[c];ATP11A
pear_hs[c];ATP11C
pedh203_hs[c];ATP11A
pedh203_hs[c];ATP11C
pelinl_hs[c];ATP11A
pelinl_hs[c];ATP11C
pepalm_hs[c];ATP11A
pepalm_hs[c];ATP11C
peole_hs[c];ATP11A
peole_hs[c];ATP11C
pcholpalm_hs[c];ABCA1
pcholpalm_hs[c];ABCB4
pcholpalm_hs[c];ATP10A
pcholpalm_hs[c];ATP8B1
pcholpalm_hs[c];ATP8B2
peste_hs[c];ATP11A
peste_hs[c];ATP11C
h2o[c];ABCB1
digalsgalside_hs[c];ABCB1
digalsgalside_hs[c];ABCC1
sphmyln_hs[c];ABCB1
sphmyln_hs[c];ABCC1
sphmyln180241_hs[c];ABCB1
sphmyln180241_hs[c];ABCC1
sphmyln18114_hs[c];ABCB1
sphmyln18114_hs[c];ABCC1
sphmyln18115_hs[c];ABCB1
sphmyln18115_hs[c];ABCC1
sphmyln18116_hs[c];ABCB1
sphmyln18116_hs[c];ABCC1
sphmyln181161_hs[c];ABCB1
sphmyln181161_hs[c];ABCC1
sphmyln18117_hs[c];ABCB1
sphmyln18117_hs[c];ABCC1
sphmyln18118_hs[c];ABCB1
sphmyln18118_hs[c];ABCC1
sphmyln181181_hs[c];ABCB1
sphmyln181181_hs[c];ABCC1
sphmyln18120_hs[c];ABCB1
sphmyln18120_hs[c];ABCC1
sphmyln181201_hs[c];ABCB1
sphmyln181201_hs[c];ABCC1
sphmyln18121_hs[c];ABCB1
sphmyln18121_hs[c];ABCC1
sphmyln18122_hs[c];ABCB1
sphmyln18122_hs[c];ABCC1
sphmyln181221_hs[c];ABCB1
sphmyln181221_hs[c];ABCC1
sphmyln18123_hs[c];ABCB1
sphmyln18123_hs[c];ABCC1
sphmyln1824_hs[c];ABCB1
sphmyln1824_hs[c];ABCC1
sphmyln1825_hs[c];ABCB1
sphmyln1825_hs[c];ABCC1
oh1[c];SLC22A11
T4hcinnm[e];SLC22A11
agm[e];SLC22A2
andrstndn[c];ABCB1
eandrstrn[c];ABCB1
ahandrostan[c];ABCB1
andrstandn[c];ABCB1
CE2209[c];ABCB1
C05301[c];ABCB1
C05299[c];ABCB1
C05302[c];ABCB1
CE5072[c];ABCB1
11docrtsl[c];ABCB1
11docrtstrn[c];ABCB1
prgnlone[c];ABCB1
CE2211[c];ABCB1
17ahprgstrn[c];ABCB1
17ahprgnlone[c];ABCB1
C03681[c];ABCB1
prgnlones[c];ABCB1
CE1352[c];ABCB1
mma[e];AQP8
C05769[c];ABCC2
CE2006[c];ABCC1
h[e];SLC16A1
2hyoxplac[e];SLC16A1
n8aspmd[e];SLC22A1
mhista[e];SLC22A3
CE4890[e];SLC22A2
C09642[e];SLC22A2
ppp9[c];ABCG2
h[e];SLC29A4
tym[e];SLC29A4
trypta[e];SLC29A4
CE4890[e];SLC29A4
CE7090[c];ABCC1
CE7090[c];ABCC4
CE7085[c];ABCC1
CE7085[c];ABCC4
CE7096[c];ABCC1
CE7096[c];ABCC4
CE4877[c];ABCC1
CE4877[c];ABCC4
CE1447[c];ABCC1
CE1447[c];ABCC4
h2o[c];ABCB6
C05770[c];ABCB6
C05770[c];ABCC2
sphs1p[c];ABCA1
sphs1p[c];ABCC1
mlthf[c];SLC19A1
oh1[e];SLC19A1
tym[e];SLC22A1
tym[e];SLC22A2
tym[e];SLC22A3
13dampp[e];SLC22A1
13dampp[e];SLC22A2
13dampp[e];SLC22A3
mlthf[c];ABCB4
mlthf[c];ABCC1
mlthf[c];ABCC11
mlthf[c];ABCC2
mlthf[c];ABCC4
mlthf[c];ABCC5
mlthf[c];ABCG2
34dhpha[e];SLC22A6
34dhpha[e];SLC22A8
34dhoxmand[e];SLC22A6
34dhoxmand[e];SLC22A8
CE6205[e];SLC22A6
CE6205[e];SLC22A8
dopa4glcur[c];ABCC1
dopa3glcur[c];ABCC1
CE5026[c];ABCC1
h2o[c];RALBP1
CE5026[c];RALBP1
CE5025[c];ABCC1
CE5025[c];RALBP1
M01268[c];ABCA1
M01268[c];ABCB4
M01268[c];AGT
M01268[c];ANGPTL4
M01268[c];APOA1
M01268[c];APOA2
M01268[c];APOA5
M01268[c];CCN2
M01268[c];CD36
M03051[c];ABCA1
M00117[c];ABCA1
M02745[c];ABCA1
ptdca[c];ABCA1
M01197[c];ABCA1
hpdca[c];ABCA1
M00003[c];ABCA1
M01238[c];ABCA1
ocdca[c];ABCA1
M00019[c];ABCA1
vacc[c];ABCA1
M00115[c];ABCA1
lneldc[c];ABCA1
M02613[c];ABCA1
arach[c];ABCA1
M00017[c];ABCA1
M01235[c];ABCA1
M01207[c];ABCA1
M02457[c];ABCA1
M02053[c];ABCA1
docosac[c];ABCA1
doco13ac[c];ABCA1
M01582[c];ABCA1
M03045[c];ABCA1
hexc[c];ABCA1
M03153[c];ABCA1
eicostet[c];ABCA1
tmndnc[c];ABCA1
clpnd[c];ABCA1
tetpent3[c];ABCA1
tethex3[c];ABCA1
M00010[c];ABCA1
M00341[c];ABCA1
M00260[c];ABCA1
M00315[c];ABCA1
adrn[c];ABCA1
tettet6[c];ABCA1
tetpent6[c];ABCA1
dcsptn1[c];ABCA1
M00008[c];ABCA1
M00021[c];ABCA1
M00265[c];ABCA1
HC02080[c];ABCB4
gluside_hs[e];GLTP
M02035[e];SLC22A1
M02035[e];SLC22A3
M02467[e];SLC22A1
M02467[e];SLC22A2
12dhchol[c];ABCB11
12dhchol[c];ABCC2
12dhchol[c];ABCC3
12dhchol[c];ABCC4
3dhcdchol[c];ABCB11
3dhcdchol[c];ABCC2
3dhcdchol[c];ABCC3
3dhcdchol[c];ABCC4
3dhchol[c];ABCB11
3dhchol[c];ABCC2
3dhchol[c];ABCC3
3dhchol[c];ABCC4
3dhdchol[c];ABCB11
3dhdchol[c];ABCC2
3dhdchol[c];ABCC3
3dhlchol[c];ABCB11
3dhlchol[c];ABCC2
3dhlchol[c];ABCC3
7dhcdchol[c];ABCB11
7dhcdchol[c];ABCC2
7dhcdchol[c];ABCC3
7dhcdchol[c];ABCC4
7dhchol[c];ABCB11
7dhchol[c];ABCC2
7dhchol[c];ABCC3
7dhchol[c];ABCC4
ca24g[c];ABCC2
ca24g[c];ABCC3
ca24g[c];ABCG2
ca3s[c];ABCC2
ca3s[c];ABCC3
ca3s[c];ABCC4
ca3s[c];ABCG2
cdca24g[c];ABCB11
cdca24g[c];ABCC2
cdca24g[c];ABCC3
cdca24g[c];ABCG2
cdca3g[c];ABCB11
cdca3g[c];ABCC2
cdca3g[c];ABCC3
cdca3g[c];ABCG2
coprost[c];ABCB11
coprost[c];ABCC2
coprost[c];ABCC3
coprost[c];ABCC4
dca24g[c];ABCB11
dca24g[c];ABCC2
dca24g[c];ABCC3
dca24g[c];ABCG2
dca3g[c];ABCB11
dca3g[c];ABCC2
dca3g[c];ABCC3
dca3g[c];ABCG2
dca3s[c];ABCC2
dca3s[c];ABCC3
dca3s[c];ABCC4
dca3s[c];ABCG2
gca3s[c];ABCC2
gca3s[c];ABCC3
gca3s[c];ABCC4
gca3s[c];ABCG2
gcdca3s[c];ABCC2
gcdca3s[c];ABCC3
gcdca3s[c];ABCC4
gcdca3s[c];ABCG2
gdca3s[c];ABCC2
gdca3s[c];ABCC3
gdca3s[c];ABCC4
gdca3s[c];ABCG2
gudca3s[c];ABCC2
gudca3s[c];ABCC3
gudca3s[c];ABCC4
gudca3s[c];ABCG2
hca24g[c];ABCB11
hca24g[c];ABCC2
hca24g[c];ABCC3
hca24g[c];ABCG2
hca6g[c];ABCB11
hca6g[c];ABCC2
hca6g[c];ABCC3
hca6g[c];ABCG2
hdca24g[c];ABCB11
hdca24g[c];ABCC2
hdca24g[c];ABCC3
hdca24g[c];ABCG2
hdca6g[c];ABCB11
hdca6g[c];ABCC2
hdca6g[c];ABCC3
hdca6g[c];ABCG2
hyochol[c];ABCB11
hyochol[c];ABCC2
hyochol[c];ABCC3
icdchol[c];ABCB11
icdchol[c];ABCC2
icdchol[c];ABCC3
icdchol[c];ABCC4
isochol[c];ABCB11
isochol[c];ABCC2
isochol[c];ABCC3
isochol[c];ABCC4
lca24g[c];ABCB11
lca24g[c];ABCC2
lca24g[c];ABCC3
lca24g[c];ABCG2
lca3g[c];ABCB11
lca3g[c];ABCC2
lca3g[c];ABCC3
lca3g[c];ABCG2
lca3s[c];ABCC2
lca3s[c];ABCC3
lca3s[c];ABCC4
lca3s[c];ABCG2
tca3s[c];ABCC2
tca3s[c];ABCC3
tca3s[c];ABCC4
tca3s[c];ABCG2
tcdca3s[c];ABCC2
tcdca3s[c];ABCC3
tcdca3s[c];ABCC4
tcdca3s[c];ABCG2
tdca3s[c];ABCC2
tdca3s[c];ABCC3
tdca3s[c];ABCC4
tdca3s[c];ABCG2
thyochol[c];ABCB11
thyochol[c];ABCC2
thyochol[c];ABCC3
tudca3s[c];ABCC2
tudca3s[c];ABCC3
tudca3s[c];ABCC4
tudca3s[c];ABCG2
uchol[c];ABCB11
uchol[c];ABCC2
uchol[c];ABCC3
uchol[c];ABCC4
udca3s[c];ABCC2
udca3s[c];ABCC3
udca3s[c];ABCC4
udca3s[c];ABCG2
h[c];SLC16A1
2hb[c];SLC16A1
h[c];SLC16A3
2hb[c];SLC16A3
h[c];SLC16A7
2hb[c];SLC16A7
hco3[c];SLC4A4
na1[c];SLC4A4
hco3[c];SLC4A5
na1[c];SLC4A5
34dhphe[c];SLC16A10
5mthf[c];FOLR1
5mthf[c];FOLR3
na1[c];SLC6A1
4abut[c];SLC6A1
na1[c];SLC6A11
4abut[c];SLC6A11
na1[c];SLC6A12
4abut[c];SLC6A12
na1[c];SLC6A13
4abut[c];SLC6A13
acetone[c];SLC16A1
acetone[c];SLC16A3
acetone[c];SLC16A7
ade[c];SLC29A2
adn[c];SLC29A1
adn[c];SLC29A2
akg[c];SLC13A3
na1[c];SLC13A3
h[e];SLC38A3
na1[c];SLC38A3
ala_L[c];SLC38A3
h[e];SLC38A5
na1[c];SLC38A5
ala_L[c];SLC38A5
arachd[c];SLC27A5
na1[c];SLC23A1
ascb_L[c];SLC23A1
na1[c];SLC23A2
ascb_L[c];SLC23A2
asn_L[c];SLC38A3
asn_L[c];SLC38A5
btn[c];SLC16A1
na1[c];SLC5A7
chol[c];SLC5A7
chol[c];SLC22A2
chol[c];SLC22A5
na1[c];SLC13A2
cit[c];SLC13A2
na1[c];SLC6A10P
creat[c];SLC6A10P
na1[c];SLC6A8
creat[c];SLC6A8
crn[c];SLC22A5
cys_L[c];SLC43A2
cytd[c];SLC29A1
cytd[c];SLC29A2
dad_2[c];SLC29A2
h[c];SLC36A1
ala_D[c];SLC36A1
dcyt[c];SLC29A2
debrisoquine[c];SLC22A2
dgsn[c];SLC29A2
dhdascb[c];SLC2A1
dhdascb[c];SLC2A3
dhdascb[c];SLC2A4
din[c];SLC29A2
lac_D[c];SLC16A1
lac_D[c];SLC16A3
lac_D[c];SLC16A7
h[c];SLC16A8
lac_D[c];SLC16A8
dlnlcg[c];SLC27A5
na1[c];SLC6A2
dopa[c];SLC6A2
na1[c];SLC6A3
dopa[c];SLC6A3
dopa[c];SLC22A2
dopa[c];SLC22A3
dopa[c];SLC22A5
duri[c];SLC29A2
elaid[c];SLC27A2
fru[c];SLC2A11
fru[c];SLC2A2
fru[c];SLC2A5
fru[c];SLC2A7
fru[c];SLC2A8
gal[c];SLC2A1
gal[c];SLC2A10
gal[c];SLC2A2
gal[c];SLC2A3
gal[c];SLC2A8
