HMDB,a.mode,metabolite,Symbol,Uniprot,type(a),ProtName,pubchem,CellLoc,TissueLoc,BSLoc,metabolite_subclass,a.combined_score,a.experiment,a.database,a.prediction,a.textmining
"""HMDB0014323""","""binding""","""Valsartan""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,60846,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Amino acids, peptides, and analogues""",417,0,259,0,236
"""HMDB0000050""","""binding""","""Adenosine""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,60961,"[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""All Tissues"", ""Placenta""]","[""Blood"", ""Breast Milk"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]",null,921,0,237,900,0
"""HMDB0014844""","""binding""","""Tamsulosin""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,129211,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Phenethylamines""",325,0,325,0,0
"""HMDB0000169""","""binding""","""D-Mannose""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,185698,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Golgi apparatus"", ""Lysosome""]","[""Adrenal Medulla"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Breast Milk"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Carbohydrates and carbohydrate conjugates""",322,0,322,0,0
"""HMDB0000216""","""binding""","""Norepinephrine""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,439260,"[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Heart"", ""Intestine"", ""Kidney"", ""Leukocyte"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","""Benzenediols""",922,0,249,900,0
"""HMDB0008923""","""binding""","""PE(16:0/16:0)""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,445468,"[""Extracellular"", ""Membrane""]","[""All Tissues"", ""Brain""]","[""Feces""]","""Glycerophosphoethanolamines""",322,0,322,0,0
"""HMDB0000674""","""binding""","""PA(16:0/16:0)""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,446066,"[""Extracellular"", ""Membrane""]",null,"[""Blood""]","""Glycerophosphates""",322,0,322,0,0
"""HMDB0036565""","""binding""","""beta-Ionone""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,638014,"[""Extracellular"", ""Membrane""]",null,"[""Saliva""]","""Sesquiterpenoids""",322,0,322,0,0
"""HMDB0001358""","""binding""","""Retinal""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,638015,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Adrenal Cortex"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Urine""]","""Retinoids""",322,0,322,0,0
"""HMDB0001220""","""binding""","""Prostaglandin E2""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,5280360,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Brain"", ""Epidermis"", ""Fibroblasts"", ""Placenta""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""Eicosanoids""",986,0,309,900,817
"""HMDB0001442""","""binding""","""Prostaglandin E1""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,5280723,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Liver"", ""Neuron"", ""Placenta"", ""Platelet""]","[""Blood""]","""Eicosanoids""",271,0,271,0,0
"""HMDB0004080""","""binding""","""Anandamide""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,5281969,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","""Amines""",211,0,211,0,0
"""HMDB0004666""","""binding""","""MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,5282280,"[""Extracellular"", ""Membrane""]","[""All Tissues"", ""Placenta""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]",null,910,0,126,900,0
"""HMDB0000990""","""binding""","""Acetaldehyde""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,177,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Mitochondria"", ""Peroxisome""]","[""Adrenal Medulla"", ""Brain"", ""Epidermis"", ""Erythrocyte"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Liver"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Testis"", ""Thyroid Gland""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Carbonyl compounds""",322,0,322,0,0
"""HMDB0000073""","""binding""","""Dopamine""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,681,"[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""Benzenediols""",925,0,274,900,0
"""HMDB0000123""","""binding""","""Glycine""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,750,"[""Extracellular"", ""Lysosome"", ""Mitochondria"", ""Peroxisome""]","[""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Spleen"", ""Thyroid Gland""]","[""Bile"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Amino acids, peptides, and analogues""",283,0,283,0,0
"""HMDB0000870""","""binding""","""Histamine""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,774,"[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Amines""",935,0,204,900,236
"""HMDB0000220""","""binding""","""Palmitic acid""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,985,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Fatty acids and conjugates""",467,0,322,0,236
"""HMDB0014466""","""binding""","""Amitriptyline""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,2160,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]",null,286,0,286,0,0
"""HMDB0014683""","""binding""","""Amoxapine""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,2170,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Dibenzoxazepines""",214,0,214,0,0
"""HMDB0015267""","""binding""","""Carvedilol""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,2585,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Carbazoles""",274,0,274,0,0
"""HMDB0014620""","""binding""","""Chlorpromazine""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,2726,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Phenothiazines""",267,0,267,0,0
"""HMDB0014677""","""binding""","""Ciprofloxacin""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,2764,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Quinoline carboxylic acids""",282,0,282,0,0
"""HMDB0015477""","""binding""","""Clenbuterol""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,2783,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Halobenzenes""",276,0,276,0,0
"""HMDB0015282""","""binding""","""Desipramine""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,2995,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Dibenzazepines""",280,0,280,0,0
"""HMDB0014328""","""binding""","""Amphetamine""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,3007,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Kidney"", ""Liver""]","[""Blood"", ""Urine""]","""Phenethylamines""",275,0,275,0,0
"""HMDB0040987""","""binding""","""(-)-Morphine""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,4253,"[""Cytoplasm"", ""Extracellular""]",null,null,null,382,101,332,0,0
"""HMDB0014680""","""binding""","""Nortriptyline""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,4543,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Kidney"", ""Liver""]","[""Blood"", ""Urine""]",null,286,0,286,0,0
"""HMDB0015070""","""binding""","""Oxymetazoline""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,4636,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Xylenes""",270,0,270,0,0
"""HMDB0014600""","""binding""","""Prazosin""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,4893,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Piperazines""",366,0,366,0,0
"""HMDB0000259""","""binding""","""Serotonin""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,5202,"[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""Tryptamines and derivatives""",928,0,310,900,0
"""HMDB0014794""","""binding""","""Trazodone""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,5533,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Piperazines""",209,0,209,0,0
"""HMDB0031404""","""binding""","""Cyclohexylamine""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,7965,"[""Cytoplasm"", ""Extracellular""]",null,"[""Blood"", ""Feces""]","""Cyclohexylamines""",307,0,307,0,0
"""HMDB0015559""","""binding""","""Thioproperazine""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,9429,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Phenothiazines""",275,0,275,0,0
"""HMDB0032477""","""binding""","""Polyoxyethylene 40 monostearate""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,24762,"[""Extracellular"", ""Membrane""]",null,null,"""Fatty acid esters""",287,0,287,0,0
"""HMDB0014940""","""binding""","""Alfentanil""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,51263,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Anilides""",273,0,273,0,0
"""HMDB0013657""","""binding""","""2-Arachidonyl Glycerol ether""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,6483057,"[""Extracellular"", ""Membrane""]",null,null,null,205,0,205,0,0
"""HMDB0014323""","""activation""","""Valsartan""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,60846,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Amino acids, peptides, and analogues""",417,0,259,0,236
"""HMDB0001220""","""activation""","""Prostaglandin E2""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,5280360,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Brain"", ""Epidermis"", ""Fibroblasts"", ""Placenta""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""Eicosanoids""",986,0,309,900,817
"""HMDB0000895""","""activation""","""Acetylcholine""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,187,"[""Cytoplasm"", ""Extracellular"", ""Nucleus""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Cerebrospinal Fluid (CSF)"", ""Saliva""]","""Quaternary ammonium salts""",921,0,0,900,236
"""HMDB0000870""","""activation""","""Histamine""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,774,"[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Amines""",935,0,204,900,236
"""HMDB0000220""","""activation""","""Palmitic acid""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,985,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Fatty acids and conjugates""",467,0,322,0,236
"""HMDB0000273""","""binding""","""Thymidine""","""MC1R""","""uniprot:Q01726""","""StitchMetaboliteReceptor""",null,5789,"[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Adipose Tissue"", ""Adrenal Gland"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis"", ""Thyroid Gland""]","[""Amniotic Fluid"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Pyrimidine 2'-deoxyribonucleosides""",205,0,205,0,0
"""HMDB0000975""","""binding""","""Trehalose""","""MC1R""","""uniprot:Q01726""","""StitchMetaboliteReceptor""",null,7427,"[""Extracellular""]","[""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Platelet"", ""Skeletal Muscle""]","[""Feces"", ""Urine""]","""Carbohydrates and carbohydrate conjugates""",322,0,322,0,0
"""HMDB0014323""","""binding""","""Valsartan""","""MC1R""","""uniprot:Q01726""","""StitchMetaboliteReceptor""",null,60846,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Amino acids, peptides, and analogues""",417,0,259,0,236
"""HMDB0000050""","""binding""","""Adenosine""","""MC1R""","""uniprot:Q01726""","""StitchMetaboliteReceptor""",null,60961,"[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""All Tissues"", ""Placenta""]","[""Blood"", ""Breast Milk"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]",null,921,0,237,900,0
"""HMDB0014844""","""binding""","""Tamsulosin""","""MC1R""","""uniprot:Q01726""","""StitchMetaboliteReceptor""",null,129211,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Phenethylamines""",325,0,325,0,0
"""HMDB0000169""","""binding""","""D-Mannose""","""MC1R""","""uniprot:Q01726""","""StitchMetaboliteReceptor""",null,185698,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Golgi apparatus"", ""Lysosome""]","[""Adrenal Medulla"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Breast Milk"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Carbohydrates and carbohydrate conjugates""",322,0,322,0,0
"""HMDB0000216""","""binding""","""Norepinephrine""","""MC1R""","""uniprot:Q01726""","""StitchMetaboliteReceptor""",null,439260,"[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Heart"", ""Intestine"", ""Kidney"", ""Leukocyte"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","""Benzenediols""",922,0,249,900,0
"""HMDB0008923""","""binding""","""PE(16:0/16:0)""","""MC1R""","""uniprot:Q01726""","""StitchMetaboliteReceptor""",null,445468,"[""Extracellular"", ""Membrane""]","[""All Tissues"", ""Brain""]","[""Feces""]","""Glycerophosphoethanolamines""",322,0,322,0,0
"""HMDB0000674""","""binding""","""PA(16:0/16:0)""","""MC1R""","""uniprot:Q01726""","""StitchMetaboliteReceptor""",null,446066,"[""Extracellular"", ""Membrane""]",null,"[""Blood""]","""Glycerophosphates""",322,0,322,0,0
"""HMDB0036565""","""binding""","""beta-Ionone""","""MC1R""","""uniprot:Q01726""","""StitchMetaboliteReceptor""",null,638014,"[""Extracellular"", ""Membrane""]",null,"[""Saliva""]","""Sesquiterpenoids""",322,0,322,0,0
"""HMDB0001358""","""binding""","""Retinal""","""MC1R""","""uniprot:Q01726""","""StitchMetaboliteReceptor""",null,638015,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Adrenal Cortex"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Urine""]","""Retinoids""",322,0,322,0,0
"""HMDB0001220""","""binding""","""Prostaglandin E2""","""MC1R""","""uniprot:Q01726""","""StitchMetaboliteReceptor""",null,5280360,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Brain"", ""Epidermis"", ""Fibroblasts"", ""Placenta""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""Eicosanoids""",928,0,309,900,0
"""HMDB0001442""","""binding""","""Prostaglandin E1""","""MC1R""","""uniprot:Q01726""","""StitchMetaboliteReceptor""",null,5280723,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Liver"", ""Neuron"", ""Placenta"", ""Platelet""]","[""Blood""]","""Eicosanoids""",271,0,271,0,0
"""HMDB0004080""","""binding""","""Anandamide""","""MC1R""","""uniprot:Q01726""","""StitchMetaboliteReceptor""",null,5281969,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","""Amines""",211,0,211,0,0
"""HMDB0000990""","""binding""","""Acetaldehyde""","""MC1R""","""uniprot:Q01726""","""StitchMetaboliteReceptor""",null,177,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Mitochondria"", ""Peroxisome""]","[""Adrenal Medulla"", ""Brain"", ""Epidermis"", ""Erythrocyte"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Liver"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Testis"", ""Thyroid Gland""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Carbonyl compounds""",322,0,322,0,0
