HMDB,MetName,Symbol,CellLoc,TissueLoc,BiospecLoc,Mode,Direction,Status,Uniprot,ProtName
"""HMDB0014844""","""Tamsulosin""","""CXCR6""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0000169""","""D-Mannose""","""CXCR6""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Golgi apparatus"", ""Lysosome""]","[""Adrenal Medulla"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Breast Milk"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0000216""","""Norepinephrine""","""CXCR6""","[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Heart"", ""Intestine"", ""Kidney"", ""Leukocyte"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0008923""","""PE(16:0/16:0)""","""CXCR6""","[""Extracellular"", ""Membrane""]","[""All Tissues"", ""Brain""]","[""Feces""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0001358""","""Retinal""","""CXCR6""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Adrenal Cortex"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0001220""","""Prostaglandin E2""","""CXCR6""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Brain"", ""Epidermis"", ""Fibroblasts"", ""Placenta""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0001442""","""Prostaglandin E1""","""CXCR6""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Liver"", ""Neuron"", ""Placenta"", ""Platelet""]","[""Blood""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0004080""","""Anandamide""","""CXCR6""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0004666""","""MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)""","""CXCR6""","[""Extracellular"", ""Membrane""]","[""All Tissues"", ""Placenta""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0000990""","""Acetaldehyde""","""CXCR6""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Mitochondria"", ""Peroxisome""]","[""Adrenal Medulla"", ""Brain"", ""Epidermis"", ""Erythrocyte"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Liver"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Testis"", ""Thyroid Gland""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0000073""","""Dopamine""","""CXCR6""","[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0000123""","""Glycine""","""CXCR6""","[""Extracellular"", ""Lysosome"", ""Mitochondria"", ""Peroxisome""]","[""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Spleen"", ""Thyroid Gland""]","[""Bile"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0000870""","""Histamine""","""CXCR6""","[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0000220""","""Palmitic acid""","""CXCR6""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0014466""","""Amitriptyline""","""CXCR6""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0014683""","""Amoxapine""","""CXCR6""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0015267""","""Carvedilol""","""CXCR6""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0014620""","""Chlorpromazine""","""CXCR6""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0014677""","""Ciprofloxacin""","""CXCR6""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0015477""","""Clenbuterol""","""CXCR6""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0015282""","""Desipramine""","""CXCR6""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0014328""","""Amphetamine""","""CXCR6""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Kidney"", ""Liver""]","[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0014680""","""Nortriptyline""","""CXCR6""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Kidney"", ""Liver""]","[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0015070""","""Oxymetazoline""","""CXCR6""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0014600""","""Prazosin""","""CXCR6""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0000259""","""Serotonin""","""CXCR6""","[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0014794""","""Trazodone""","""CXCR6""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0015559""","""Thioproperazine""","""CXCR6""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0014940""","""Alfentanil""","""CXCR6""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:O00574""",null
"""HMDB0014323""","""Valsartan""","""CXCR6""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""activation""",null,null,"""uniprot:O00574""",null
"""HMDB0001220""","""Prostaglandin E2""","""CXCR6""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Brain"", ""Epidermis"", ""Fibroblasts"", ""Placenta""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""activation""",null,null,"""uniprot:O00574""",null
"""HMDB0000895""","""Acetylcholine""","""CXCR6""","[""Cytoplasm"", ""Extracellular"", ""Nucleus""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Cerebrospinal Fluid (CSF)"", ""Saliva""]","""activation""",null,null,"""uniprot:O00574""",null
"""HMDB0000870""","""Histamine""","""CXCR6""","[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""activation""",null,null,"""uniprot:O00574""",null
"""HMDB0000220""","""Palmitic acid""","""CXCR6""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""activation""",null,null,"""uniprot:O00574""",null
"""HMDB0000273""","""Thymidine""","""MC1R""","[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Adipose Tissue"", ""Adrenal Gland"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis"", ""Thyroid Gland""]","[""Amniotic Fluid"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0000975""","""Trehalose""","""MC1R""","[""Extracellular""]","[""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Platelet"", ""Skeletal Muscle""]","[""Feces"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0014323""","""Valsartan""","""MC1R""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0000050""","""Adenosine""","""MC1R""","[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""All Tissues"", ""Placenta""]","[""Blood"", ""Breast Milk"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0014844""","""Tamsulosin""","""MC1R""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0000169""","""D-Mannose""","""MC1R""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Golgi apparatus"", ""Lysosome""]","[""Adrenal Medulla"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Breast Milk"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0000216""","""Norepinephrine""","""MC1R""","[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Heart"", ""Intestine"", ""Kidney"", ""Leukocyte"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0008923""","""PE(16:0/16:0)""","""MC1R""","[""Extracellular"", ""Membrane""]","[""All Tissues"", ""Brain""]","[""Feces""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0001358""","""Retinal""","""MC1R""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Adrenal Cortex"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0001220""","""Prostaglandin E2""","""MC1R""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Brain"", ""Epidermis"", ""Fibroblasts"", ""Placenta""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0001442""","""Prostaglandin E1""","""MC1R""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Liver"", ""Neuron"", ""Placenta"", ""Platelet""]","[""Blood""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0004080""","""Anandamide""","""MC1R""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0000990""","""Acetaldehyde""","""MC1R""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Mitochondria"", ""Peroxisome""]","[""Adrenal Medulla"", ""Brain"", ""Epidermis"", ""Erythrocyte"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Liver"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Testis"", ""Thyroid Gland""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0000073""","""Dopamine""","""MC1R""","[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0000123""","""Glycine""","""MC1R""","[""Extracellular"", ""Lysosome"", ""Mitochondria"", ""Peroxisome""]","[""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Spleen"", ""Thyroid Gland""]","[""Bile"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0000870""","""Histamine""","""MC1R""","[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0000220""","""Palmitic acid""","""MC1R""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0014466""","""Amitriptyline""","""MC1R""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0014683""","""Amoxapine""","""MC1R""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0015267""","""Carvedilol""","""MC1R""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0014620""","""Chlorpromazine""","""MC1R""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0014677""","""Ciprofloxacin""","""MC1R""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0015477""","""Clenbuterol""","""MC1R""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0015282""","""Desipramine""","""MC1R""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0014328""","""Amphetamine""","""MC1R""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Kidney"", ""Liver""]","[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0014680""","""Nortriptyline""","""MC1R""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Kidney"", ""Liver""]","[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0015070""","""Oxymetazoline""","""MC1R""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0014600""","""Prazosin""","""MC1R""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0000259""","""Serotonin""","""MC1R""","[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0014794""","""Trazodone""","""MC1R""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0015559""","""Thioproperazine""","""MC1R""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0014940""","""Alfentanil""","""MC1R""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q01726""",null
"""HMDB0014323""","""Valsartan""","""MC1R""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""activation""",null,null,"""uniprot:Q01726""",null
"""HMDB0000870""","""Histamine""","""MC1R""","[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""activation""",null,null,"""uniprot:Q01726""",null
"""HMDB0000220""","""Palmitic acid""","""MC1R""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""activation""",null,null,"""uniprot:Q01726""",null
"""HMDB0000123""","""Glycine""","""GLRA3""","[""Extracellular"", ""Lysosome"", ""Mitochondria"", ""Peroxisome""]","[""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Spleen"", ""Thyroid Gland""]","[""Bile"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""activation""",null,null,"""uniprot:O75311""",null
