,HMDB,Symbol,Direction,MetName,Transport,T_direction,Reversibility,DB
21100,HMDB0041610,ALDH3A1,degrading,"(2,2-Diethoxyethyl)benzene",unknown,unknown,irreversible,ReconProductionDegradation
21099,HMDB0003344,ALDH3A1,degrading,Glycolaldehyde,unknown,unknown,irreversible,ReconProductionDegradation
21098,HMDB0003052,ALDH3A1,degrading,Lactaldehyde,unknown,unknown,irreversible,ReconProductionDegradation
21097,HMDB0006355,ALDH3A1,degrading,"D-Glucurono-6,3-lactone",unknown,unknown,irreversible,ReconProductionDegradation
21096,HMDB0060451,ALDH3A1,degrading,Chloral hydrate,unknown,unknown,irreversible,ReconProductionDegradation
21118,HMDB0000020,ALDH3A1,producing,p-Hydroxyphenylacetic acid,unknown,unknown,reversible,ReconProductionDegradation
21120,HMDB0000291,ALDH3A1,producing,Vanillylmandelic acid,unknown,unknown,irreversible,ReconProductionDegradation
21348,HMDB0000291,ALDH3B1,producing,Vanillylmandelic acid,unknown,unknown,irreversible,ReconProductionDegradation
41402,HMDB0001341,MAP3K12,producing,ADP,unknown,unknown,irreversible,ReconProductionDegradation
41380,HMDB0001022,OGDH,producing,Succinyl-CoA,unknown,unknown,irreversible,ReconProductionDegradation
21188,HMDB0000939,EZH2,degrading,S-Adenosylhomocysteine,unknown,unknown,reversible,ReconProductionDegradation
21186,HMDB0000902,NDUFS4,producing,NAD,unknown,unknown,irreversible,ReconProductionDegradation
21185,HMDB0059661,NDUFS4,producing,QH(2),unknown,unknown,irreversible,ReconProductionDegradation
21183,HMDB0001487,NDUFS4,degrading,NADH,unknown,unknown,irreversible,ReconProductionDegradation
21182,HMDB0002012,NDUFS4,degrading,Ubiquinone-1,unknown,unknown,irreversible,ReconProductionDegradation
41381,HMDB0001339,OGDH,producing,Glutaryl-CoA,unknown,unknown,irreversible,ReconProductionDegradation
41383,HMDB0001487,OGDH,producing,NADH,unknown,unknown,irreversible,ReconProductionDegradation
41401,HMDB0000538,MAP3K12,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
41403,HMDB0000304,GALNT12,degrading,Uridine diphosphate-N-acetylgalactosamine,unknown,unknown,irreversible,ReconProductionDegradation
21121,HMDB0000118,ALDH3A1,producing,Homovanillic acid,unknown,unknown,irreversible,ReconProductionDegradation
41406,HMDB0006219,GALNT12,producing,13-cis-Retinoic acid,unknown,unknown,irreversible,ReconProductionDegradation
41407,HMDB0000295,GALNT12,producing,Uridine 5'-diphosphate,unknown,unknown,irreversible,ReconProductionDegradation
41410,HMDB0060451,ALDH1A3,degrading,Chloral hydrate,unknown,unknown,irreversible,ReconProductionDegradation
21126,HMDB0000902,ALDH3A1,producing,NAD,unknown,unknown,reversible,ReconProductionDegradation
21125,HMDB0003533,ALDH3A1,producing,"3a,7a,12a-Trihydroxy-5b-cholestan-26-al",unknown,unknown,reversible,ReconProductionDegradation
21124,HMDB0000221,ALDH3A1,producing,NADPH,unknown,unknown,irreversible,ReconProductionDegradation
21123,HMDB0000209,ALDH3A1,producing,Phenylacetic acid,unknown,unknown,irreversible,ReconProductionDegradation
21122,HMDB0001866,ALDH3A1,producing,"3,4-Dihydroxymandelic acid",unknown,unknown,irreversible,ReconProductionDegradation
41411,HMDB0006355,ALDH1A3,degrading,"D-Glucurono-6,3-lactone",unknown,unknown,irreversible,ReconProductionDegradation
41412,HMDB0003052,ALDH1A3,degrading,Lactaldehyde,unknown,unknown,irreversible,ReconProductionDegradation
21090,HMDB0001172,AGXT2,producing,2-Methyl-3-oxopropanoic acid,unknown,unknown,reversible,ReconProductionDegradation
21037,HMDB0000162,PYCR2,producing,L-Proline,unknown,unknown,irreversible,ReconProductionDegradation
21050,HMDB0000095,ST3GAL6,producing,Cytidine monophosphate,unknown,unknown,irreversible,ReconProductionDegradation
21049,HMDB0006219,ST3GAL6,producing,13-cis-Retinoic acid,unknown,unknown,irreversible,ReconProductionDegradation
21047,HMDB0001176,ST3GAL6,degrading,Cytidine 5'-monophosphate-N-acetylneuraminic acid,unknown,unknown,irreversible,ReconProductionDegradation
21043,HMDB0000045,HECTD3,producing,Adenosine monophosphate,unknown,unknown,irreversible,ReconProductionDegradation
21041,HMDB0000538,HECTD3,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
21040,HMDB0000221,PYCR2,producing,NADPH,unknown,unknown,irreversible,ReconProductionDegradation
21039,HMDB0062585,PYCR2,producing,"(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid",unknown,unknown,irreversible,ReconProductionDegradation
21038,HMDB0000217,PYCR2,producing,NADP,unknown,unknown,irreversible,ReconProductionDegradation
21036,HMDB0001487,PYCR2,producing,NADH,unknown,unknown,reversible,ReconProductionDegradation
21089,HMDB0000161,AGXT2,producing,L-Alanine,unknown,unknown,reversible,ReconProductionDegradation
21029,HMDB0000725,PYCR2,degrading,4-Hydroxyproline,unknown,unknown,irreversible,ReconProductionDegradation
21028,HMDB0001301,PYCR2,degrading,1-Pyrroline-5-carboxylic acid,unknown,unknown,irreversible,ReconProductionDegradation
21027,HMDB0000902,PYCR2,degrading,NAD,unknown,unknown,reversible,ReconProductionDegradation
41426,HMDB0042048,ALDH1A3,producing,Trichloroacetic acid,unknown,unknown,irreversible,ReconProductionDegradation
41427,HMDB0000190,ALDH1A3,producing,L-Lactic acid,unknown,unknown,irreversible,ReconProductionDegradation
41428,HMDB0000042,ALDH1A3,producing,Acetic acid,unknown,unknown,irreversible,ReconProductionDegradation
41429,HMDB0000115,ALDH1A3,producing,Glycolic acid,unknown,unknown,irreversible,ReconProductionDegradation
41430,HMDB0002820,ALDH1A3,producing,Methylimidazoleacetic acid,unknown,unknown,irreversible,ReconProductionDegradation
41431,HMDB0000663,ALDH1A3,producing,Glucaric acid,unknown,unknown,irreversible,ReconProductionDegradation
41424,HMDB0000902,ALDH1A3,degrading,NAD,unknown,unknown,irreversible,ReconProductionDegradation
41423,HMDB0003791,ALDH1A3,degrading,"3,4-Dihydroxyphenylacetaldehyde",unknown,unknown,irreversible,ReconProductionDegradation
21056,HMDB0000122,GBA1,producing,D-Glucose,unknown,unknown,irreversible,ReconProductionDegradation
21088,HMDB0000243,AGXT2,producing,Pyruvic acid,unknown,unknown,irreversible,ReconProductionDegradation
21087,HMDB0000123,AGXT2,producing,Glycine,unknown,unknown,irreversible,ReconProductionDegradation
41413,HMDB0000990,ALDH1A3,degrading,Acetaldehyde,unknown,unknown,irreversible,ReconProductionDegradation
41414,HMDB0003344,ALDH1A3,degrading,Glycolaldehyde,unknown,unknown,irreversible,ReconProductionDegradation
41415,HMDB0041610,ALDH1A3,degrading,"(2,2-Diethoxyethyl)benzene",unknown,unknown,irreversible,ReconProductionDegradation
41416,HMDB0004181,ALDH1A3,degrading,Methylimidazole acetaldehyde,unknown,unknown,irreversible,ReconProductionDegradation
41417,HMDB0006458,ALDH1A3,degrading,D-Lactaldehyde,unknown,unknown,irreversible,ReconProductionDegradation
41418,HMDB0003767,ALDH1A3,degrading,4-Hydroxyphenylacetaldehyde,unknown,unknown,reversible,ReconProductionDegradation
41419,HMDB0000217,ALDH1A3,degrading,NADP,unknown,unknown,reversible,ReconProductionDegradation
41420,HMDB0004061,ALDH1A3,degrading,3-Methoxy-4-hydroxyphenylglycolaldehyde,unknown,unknown,irreversible,ReconProductionDegradation
21075,HMDB0002299,AGXT2,degrading,(R)-beta-Aminoisobutyric acid,unknown,unknown,reversible,ReconProductionDegradation
21074,HMDB0000119,AGXT2,degrading,Glyoxylic acid,unknown,unknown,irreversible,ReconProductionDegradation
21068,HMDB0000212,HEXD,producing,N-Acetylgalactosamine,unknown,unknown,irreversible,ReconProductionDegradation
21067,HMDB0004886,HEXD,producing,Trihexosylceramide (d18:1/24:0),unknown,unknown,irreversible,ReconProductionDegradation
21066,HMDB0004852,HEXD,producing,Ganglioside GM3 (d18:1/25:0),unknown,unknown,irreversible,ReconProductionDegradation
21062,HMDB0004968,HEXD,degrading,Tetrahexosylceramide (d18:1/25:0),unknown,unknown,irreversible,ReconProductionDegradation
21061,HMDB0004897,HEXD,degrading,Ganglioside GA2 (d18:1/24:0),unknown,unknown,irreversible,ReconProductionDegradation
21060,HMDB0004936,HEXD,degrading,Ganglioside GM2 (d18:1/12:0),unknown,unknown,irreversible,ReconProductionDegradation
41421,HMDB0005175,ALDH1A3,degrading,Homovanillin,unknown,unknown,reversible,ReconProductionDegradation
41422,HMDB0006242,ALDH1A3,degrading,"3,4-Dihydroxymandelaldehyde",unknown,unknown,irreversible,ReconProductionDegradation
41379,HMDB0006744,OGDH,producing,3-Carboxy-1-hydroxypropylthiamine diphosphate,unknown,unknown,irreversible,ReconProductionDegradation
21191,HMDB0001185,EZH2,producing,S-Adenosylmethionine,unknown,unknown,reversible,ReconProductionDegradation
21194,HMDB0012999,AMY2B,degrading,Maltodecaose,unknown,unknown,reversible,ReconProductionDegradation
21301,HMDB0000302,ABO,degrading,Uridine diphosphategalactose,unknown,unknown,irreversible,ReconProductionDegradation
21320,HMDB0000301,UROC1,degrading,Urocanic acid,unknown,unknown,irreversible,ReconProductionDegradation
21312,HMDB0000221,AKR1C8,producing,NADPH,unknown,unknown,reversible,ReconProductionDegradation
21311,HMDB0002170,AKR1C8,producing,Malonyl-CoA semialdehyde,unknown,unknown,reversible,ReconProductionDegradation
21310,HMDB0000217,AKR1C8,degrading,NADP,unknown,unknown,reversible,ReconProductionDegradation
21309,HMDB0006807,AKR1C8,degrading,3-Hydroxypropionyl-CoA,unknown,unknown,reversible,ReconProductionDegradation
21306,HMDB0000295,ABO,producing,Uridine 5'-diphosphate,unknown,unknown,irreversible,ReconProductionDegradation
21305,HMDB0006219,ABO,producing,13-cis-Retinoic acid,unknown,unknown,irreversible,ReconProductionDegradation
21300,HMDB0000304,ABO,degrading,Uridine diphosphate-N-acetylgalactosamine,unknown,unknown,irreversible,ReconProductionDegradation
21299,HMDB0001341,IRAK3,producing,ADP,unknown,unknown,irreversible,ReconProductionDegradation
21298,HMDB0000538,IRAK3,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
41359,HMDB0000252,SPHK2,degrading,Sphingosine,unknown,unknown,irreversible,ReconProductionDegradation
41360,HMDB0000269,SPHK2,degrading,Sphinganine,unknown,unknown,irreversible,ReconProductionDegradation
41361,HMDB0000538,SPHK2,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
21280,HMDB0000217,FMO5,producing,NADP,unknown,unknown,irreversible,ReconProductionDegradation
21279,HMDB0000925,FMO5,producing,Trimethylamine N-oxide,unknown,unknown,irreversible,ReconProductionDegradation
21277,HMDB0000221,FMO5,degrading,NADPH,unknown,unknown,irreversible,ReconProductionDegradation
21322,HMDB0001014,UROC1,producing,4-Imidazolone-5-propionic acid,unknown,unknown,irreversible,ReconProductionDegradation
21323,HMDB0060451,ALDH3B1,degrading,Chloral hydrate,unknown,unknown,irreversible,ReconProductionDegradation
21324,HMDB0006355,ALDH3B1,degrading,"D-Glucurono-6,3-lactone",unknown,unknown,irreversible,ReconProductionDegradation
21325,HMDB0003052,ALDH3B1,degrading,Lactaldehyde,unknown,unknown,irreversible,ReconProductionDegradation
21346,HMDB0000020,ALDH3B1,producing,p-Hydroxyphenylacetic acid,unknown,unknown,reversible,ReconProductionDegradation
21345,HMDB0000042,ALDH3B1,producing,Acetic acid,unknown,unknown,irreversible,ReconProductionDegradation
21344,HMDB0001487,ALDH3B1,producing,NADH,unknown,unknown,irreversible,ReconProductionDegradation
21343,HMDB0000663,ALDH3B1,producing,Glucaric acid,unknown,unknown,irreversible,ReconProductionDegradation
21342,HMDB0002820,ALDH3B1,producing,Methylimidazoleacetic acid,unknown,unknown,irreversible,ReconProductionDegradation
21341,HMDB0000115,ALDH3B1,producing,Glycolic acid,unknown,unknown,irreversible,ReconProductionDegradation
21340,HMDB0000190,ALDH3B1,producing,L-Lactic acid,unknown,unknown,irreversible,ReconProductionDegradation
21339,HMDB0042048,ALDH3B1,producing,Trichloroacetic acid,unknown,unknown,irreversible,ReconProductionDegradation
21337,HMDB0000902,ALDH3B1,degrading,NAD,unknown,unknown,irreversible,ReconProductionDegradation
21336,HMDB0003791,ALDH3B1,degrading,"3,4-Dihydroxyphenylacetaldehyde",unknown,unknown,irreversible,ReconProductionDegradation
21335,HMDB0000217,ALDH3B1,degrading,NADP,unknown,unknown,reversible,ReconProductionDegradation
21334,HMDB0006242,ALDH3B1,degrading,"3,4-Dihydroxymandelaldehyde",unknown,unknown,irreversible,ReconProductionDegradation
21333,HMDB0005175,ALDH3B1,degrading,Homovanillin,unknown,unknown,reversible,ReconProductionDegradation
21332,HMDB0004061,ALDH3B1,degrading,3-Methoxy-4-hydroxyphenylglycolaldehyde,unknown,unknown,irreversible,ReconProductionDegradation
21331,HMDB0003767,ALDH3B1,degrading,4-Hydroxyphenylacetaldehyde,unknown,unknown,reversible,ReconProductionDegradation
21330,HMDB0000990,ALDH3B1,degrading,Acetaldehyde,unknown,unknown,irreversible,ReconProductionDegradation
21329,HMDB0006458,ALDH3B1,degrading,D-Lactaldehyde,unknown,unknown,irreversible,ReconProductionDegradation
21328,HMDB0004181,ALDH3B1,degrading,Methylimidazole acetaldehyde,unknown,unknown,irreversible,ReconProductionDegradation
21327,HMDB0041610,ALDH3B1,degrading,"(2,2-Diethoxyethyl)benzene",unknown,unknown,irreversible,ReconProductionDegradation
21326,HMDB0003344,ALDH3B1,degrading,Glycolaldehyde,unknown,unknown,irreversible,ReconProductionDegradation
21276,HMDB0000906,FMO5,degrading,Trimethylamine,unknown,unknown,irreversible,ReconProductionDegradation
21274,HMDB0003966,FMO5,degrading,Selenomethionine,unknown,unknown,irreversible,ReconProductionDegradation
21219,HMDB0000538,STK32A,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
41373,HMDB0000962,OGDH,degrading,Lipoamide,unknown,unknown,irreversible,ReconProductionDegradation
41374,HMDB0000208,OGDH,degrading,Oxoglutaric acid,unknown,unknown,irreversible,ReconProductionDegradation
41376,HMDB0001372,OGDH,producing,Thiamine pyrophosphate,unknown,unknown,reversible,ReconProductionDegradation
41377,HMDB0006832,OGDH,producing,S-Glutaryldihydrolipoamide,unknown,unknown,irreversible,ReconProductionDegradation
21226,HMDB0000538,ATP5PF,producing,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
21222,HMDB0001341,ATP5PF,degrading,ADP,unknown,unknown,irreversible,ReconProductionDegradation
21220,HMDB0001341,STK32A,producing,ADP,unknown,unknown,irreversible,ReconProductionDegradation
21272,HMDB0000181,SLC16A10,producing,L-Dopa,c->e,out,reversible,ReconProductionDegradation
41378,HMDB0001177,OGDH,producing,(S)-Succinyldihydrolipoamide,unknown,unknown,irreversible,ReconProductionDegradation
21202,HMDB0000122,AMY2B,producing,D-Glucose,unknown,unknown,reversible,ReconProductionDegradation
21201,HMDB0001262,AMY2B,producing,Maltotriose,unknown,unknown,reversible,ReconProductionDegradation
21200,HMDB0001296,AMY2B,producing,Maltotetraose,unknown,unknown,reversible,ReconProductionDegradation
21199,HMDB0012254,AMY2B,producing,Maltopentaose,unknown,unknown,reversible,ReconProductionDegradation
21198,HMDB0012253,AMY2B,producing,Maltohexaose,unknown,unknown,irreversible,ReconProductionDegradation
21197,HMDB0000660,AMY2B,producing,D-Fructose,unknown,unknown,irreversible,ReconProductionDegradation
21196,HMDB0000163,AMY2B,producing,D-Maltose,unknown,unknown,irreversible,ReconProductionDegradation
41372,HMDB0000225,OGDH,degrading,Oxoadipic acid,unknown,unknown,irreversible,ReconProductionDegradation
41371,HMDB0000902,OGDH,degrading,NAD,unknown,unknown,irreversible,ReconProductionDegradation
21237,HMDB0004081,NDST2,producing,6-Hydroxymelatonin,unknown,unknown,reversible,ReconProductionDegradation
21268,HMDB0000158,SLC16A10,producing,L-Tyrosine,c->e,out,reversible,ReconProductionDegradation
21267,HMDB0000929,SLC16A10,producing,L-Tryptophan,c->e,out,reversible,ReconProductionDegradation
21266,HMDB0000159,SLC16A10,producing,L-Phenylalanine,c->e,out,reversible,ReconProductionDegradation
21264,HMDB0000854,AMDHD1,producing,Formiminoglutamic acid,unknown,unknown,irreversible,ReconProductionDegradation
21260,HMDB0001014,AMDHD1,degrading,4-Imidazolone-5-propionic acid,unknown,unknown,irreversible,ReconProductionDegradation
41366,HMDB0000277,SPHK2,producing,Sphingosine 1-phosphate,unknown,unknown,irreversible,ReconProductionDegradation
21253,HMDB0000286,UGP2,producing,Uridine diphosphate glucose,unknown,unknown,reversible,ReconProductionDegradation
21250,HMDB0001586,UGP2,degrading,Glucose 1-phosphate,unknown,unknown,reversible,ReconProductionDegradation
21249,HMDB0000285,UGP2,degrading,Uridine triphosphate,unknown,unknown,reversible,ReconProductionDegradation
41367,HMDB0001383,SPHK2,producing,Sphinganine 1-phosphate,unknown,unknown,irreversible,ReconProductionDegradation
41368,HMDB0001341,SPHK2,producing,ADP,unknown,unknown,irreversible,ReconProductionDegradation
41370,HMDB0001423,OGDH,degrading,Coenzyme A,unknown,unknown,irreversible,ReconProductionDegradation
21242,HMDB0000295,XYLT2,producing,Uridine 5'-diphosphate,unknown,unknown,irreversible,ReconProductionDegradation
21241,HMDB0001018,XYLT2,degrading,UDP-D-Xylose,unknown,unknown,irreversible,ReconProductionDegradation
41432,HMDB0001336,ALDH1A3,producing,"3,4-Dihydroxybenzeneacetic acid",unknown,unknown,irreversible,ReconProductionDegradation
41433,HMDB0001487,ALDH1A3,producing,NADH,unknown,unknown,irreversible,ReconProductionDegradation
20747,HMDB0001117,PANK2,producing,4'-Phosphopantothenoylcysteine,unknown,unknown,reversible,ReconProductionDegradation
20742,HMDB0000538,PANK2,degrading,Adenosine triphosphate,unknown,unknown,reversible,ReconProductionDegradation
20741,HMDB0001338,PANK2,degrading,Palmityl-CoA,unknown,unknown,reversible,ReconProductionDegradation
20740,HMDB0006834,PANK2,degrading,D-Pantothenoyl-L-cysteine,unknown,unknown,reversible,ReconProductionDegradation
20739,HMDB0000210,PANK2,degrading,Pantothenic acid,unknown,unknown,irreversible,ReconProductionDegradation
41493,HMDB0000538,MKNK2,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
20730,HMDB0001341,LTK,producing,ADP,unknown,unknown,irreversible,ReconProductionDegradation
20729,HMDB0000538,LTK,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
41494,HMDB0001341,MKNK2,producing,ADP,unknown,unknown,irreversible,ReconProductionDegradation
41495,HMDB0000538,UHRF1,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
41497,HMDB0000045,UHRF1,producing,Adenosine monophosphate,unknown,unknown,irreversible,ReconProductionDegradation
41507,HMDB0000721,PEPD,degrading,Glycylproline,c->e,out,reversible,ReconProductionDegradation
20722,HMDB0000295,GBGT1,producing,Uridine 5'-diphosphate,unknown,unknown,irreversible,ReconProductionDegradation
20719,HMDB0000304,GBGT1,degrading,Uridine diphosphate-N-acetylgalactosamine,unknown,unknown,irreversible,ReconProductionDegradation
20718,HMDB0004968,GBGT1,degrading,Tetrahexosylceramide (d18:1/25:0),unknown,unknown,irreversible,ReconProductionDegradation
20717,HMDB0000302,GBGT1,degrading,Uridine diphosphategalactose,unknown,unknown,irreversible,ReconProductionDegradation
20705,HMDB0000254,P4HA1,producing,Succinic acid,unknown,unknown,irreversible,ReconProductionDegradation
20704,HMDB0000725,P4HA1,producing,4-Hydroxyproline,unknown,unknown,irreversible,ReconProductionDegradation
20699,HMDB0000208,P4HA1,degrading,Oxoglutaric acid,unknown,unknown,irreversible,ReconProductionDegradation
20748,HMDB0001416,PANK2,producing,Pantetheine 4'-phosphate,unknown,unknown,irreversible,ReconProductionDegradation
20749,HMDB0001016,PANK2,producing,D-4'-Phosphopantothenate,unknown,unknown,irreversible,ReconProductionDegradation
20750,HMDB0001341,PANK2,producing,ADP,unknown,unknown,irreversible,ReconProductionDegradation
20778,HMDB0000338,CYP2D6,producing,2-Hydroxyestradiol,unknown,unknown,irreversible,ReconProductionDegradation
20777,HMDB0001248,CYP2D6,producing,FAD,unknown,unknown,irreversible,ReconProductionDegradation
20775,HMDB0000221,CYP2D6,producing,NADPH,unknown,unknown,reversible,ReconProductionDegradation
20773,HMDB0006543,CYP2D6,degrading,Debrisoquine,unknown,unknown,irreversible,ReconProductionDegradation
20772,HMDB0000053,CYP2D6,degrading,Androstenedione,unknown,unknown,irreversible,ReconProductionDegradation
20771,HMDB0000673,CYP2D6,degrading,Linoleic acid,unknown,unknown,irreversible,ReconProductionDegradation
20770,HMDB0001043,CYP2D6,degrading,Arachidonic acid,unknown,unknown,irreversible,ReconProductionDegradation
20769,HMDB0000234,CYP2D6,degrading,Testosterone,unknown,unknown,irreversible,ReconProductionDegradation
20768,HMDB0011603,CYP2D6,degrading,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone,unknown,unknown,irreversible,ReconProductionDegradation
20767,HMDB0012824,CYP2D6,degrading,5-Oxo-6-trans-leukotriene B4,unknown,unknown,reversible,ReconProductionDegradation
20766,HMDB0001197,CYP2D6,degrading,FADH,unknown,unknown,irreversible,ReconProductionDegradation
20765,HMDB0062469,CYP2D6,degrading,Benzo[a]pyrene,unknown,unknown,irreversible,ReconProductionDegradation
20764,HMDB0062429,CYP2D6,degrading,"7,12-Dimethylbenz[a]anthracene",unknown,unknown,irreversible,ReconProductionDegradation
20763,HMDB0060116,CYP2D6,degrading,"Dibenzo[a,l]pyrene",unknown,unknown,irreversible,ReconProductionDegradation
20755,HMDB0001423,LPCAT4,producing,Coenzyme A,unknown,unknown,irreversible,ReconProductionDegradation
20754,HMDB0011158,LPCAT4,producing,PE(P-16:0/16:0),unknown,unknown,irreversible,ReconProductionDegradation
20752,HMDB0011149,LPCAT4,degrading,LysoPC(O-18:0/0:0),unknown,unknown,irreversible,ReconProductionDegradation
20698,HMDB0000162,P4HA1,degrading,L-Proline,unknown,unknown,irreversible,ReconProductionDegradation
41508,HMDB0011178,PEPD,degrading,Prolylglycine,c->e,out,reversible,ReconProductionDegradation
20780,HMDB0004244,CYP2D6,producing,15(S)-HPETE,unknown,unknown,reversible,ReconProductionDegradation
41542,HMDB0004897,NEU2,producing,Ganglioside GA2 (d18:1/24:0),unknown,unknown,irreversible,ReconProductionDegradation
41527,HMDB0000221,SDR9C7,producing,NADPH,unknown,unknown,reversible,ReconProductionDegradation
20628,HMDB0000217,HSD17B12,producing,NADP,unknown,unknown,irreversible,ReconProductionDegradation
20627,HMDB0000902,HSD17B12,producing,NAD,unknown,unknown,reversible,ReconProductionDegradation
20621,HMDB0000151,HSD17B12,producing,Estradiol,unknown,unknown,irreversible,ReconProductionDegradation
41530,HMDB0000595,SLC4A7,producing,Hydrogen carbonate,c->e,out,reversible,ReconProductionDegradation
41537,HMDB0004852,NEU2,degrading,Ganglioside GM3 (d18:1/25:0),unknown,unknown,irreversible,ReconProductionDegradation
41538,HMDB0004936,NEU2,degrading,Ganglioside GM2 (d18:1/12:0),unknown,unknown,irreversible,ReconProductionDegradation
20605,HMDB0001487,HSD17B12,degrading,NADH,unknown,unknown,reversible,ReconProductionDegradation
20604,HMDB0006111,HSD17B12,degrading,12-HETE,unknown,unknown,reversible,ReconProductionDegradation
20603,HMDB0000221,HSD17B12,degrading,NADPH,unknown,unknown,irreversible,ReconProductionDegradation
20602,HMDB0000145,HSD17B12,degrading,Estrone,unknown,unknown,irreversible,ReconProductionDegradation
20598,HMDB0000295,FUT10,producing,Uridine 5'-diphosphate,unknown,unknown,irreversible,ReconProductionDegradation
20596,HMDB0000302,FUT10,degrading,Uridine diphosphategalactose,unknown,unknown,irreversible,ReconProductionDegradation
20594,HMDB0000687,TPSB2,producing,L-Leucine,unknown,unknown,reversible,ReconProductionDegradation
20593,HMDB0012988,TPSB2,degrading,Kinetensin,unknown,unknown,reversible,ReconProductionDegradation
41526,HMDB0002170,SDR9C7,producing,Malonyl-CoA semialdehyde,unknown,unknown,reversible,ReconProductionDegradation
20647,HMDB0000304,GALNT10,degrading,Uridine diphosphate-N-acetylgalactosamine,unknown,unknown,irreversible,ReconProductionDegradation
20650,HMDB0006219,GALNT10,producing,13-cis-Retinoic acid,unknown,unknown,irreversible,ReconProductionDegradation
20651,HMDB0000295,GALNT10,producing,Uridine 5'-diphosphate,unknown,unknown,irreversible,ReconProductionDegradation
20687,HMDB0001341,FGR,producing,ADP,unknown,unknown,irreversible,ReconProductionDegradation
20686,HMDB0000538,FGR,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
20683,HMDB0001201,ADSS2,producing,Guanosine diphosphate,unknown,unknown,irreversible,ReconProductionDegradation
20679,HMDB0000191,ADSS2,degrading,L-Aspartic acid,unknown,unknown,irreversible,ReconProductionDegradation
20678,HMDB0001273,ADSS2,degrading,Guanosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
20677,HMDB0000175,ADSS2,degrading,Inosinic acid,unknown,unknown,irreversible,ReconProductionDegradation
41510,HMDB0000162,PEPD,producing,L-Proline,c->e,out,reversible,ReconProductionDegradation
41511,HMDB0000123,PEPD,producing,Glycine,c->e,out,reversible,ReconProductionDegradation
20670,HMDB0001341,PRKACB,producing,ADP,unknown,unknown,irreversible,ReconProductionDegradation
20669,HMDB0000538,PRKACB,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
