HMDB,MetName,Symbol,Receptor,DB,CellLoc,BSLoc,TissueLoc,Mode,comb,a.database,a.experiment,a.textmining,a.prediction
"""HMDB0000073""","""Dopamine""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","""binding""",925,274,0,0,900
"""HMDB0000123""","""Glycine""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Lysosome"", ""Mitochondria"", ""Peroxisome""]","[""Bile"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","[""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Spleen"", ""Thyroid Gland""]","""binding""",283,283,0,0,0
"""HMDB0014794""","""Trazodone""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",209,209,0,0,0
"""HMDB0014844""","""Tamsulosin""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",325,325,0,0,0
"""HMDB0000169""","""D-Mannose""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Golgi apparatus"", ""Lysosome""]","[""Blood"", ""Breast Milk"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","[""Adrenal Medulla"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","""binding""",322,322,0,0,0
"""HMDB0031404""","""Cyclohexylamine""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular""]","[""Blood"", ""Feces""]",null,"""binding""",307,307,0,0,0
"""HMDB0015559""","""Thioproperazine""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",275,275,0,0,0
"""HMDB0000216""","""Norepinephrine""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Heart"", ""Intestine"", ""Kidney"", ""Leukocyte"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Testis""]","""binding""",922,249,0,0,900
"""HMDB0032477""","""Polyoxyethylene 40 monostearate""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]",null,null,"""binding""",287,287,0,0,0
"""HMDB0008923""","""PE(16:0/16:0)""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Feces""]","[""All Tissues"", ""Brain""]","""binding""",322,322,0,0,0
"""HMDB0000674""","""PA(16:0/16:0)""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood""]",null,"""binding""",322,322,0,0,0
"""HMDB0036565""","""beta-Ionone""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Saliva""]",null,"""binding""",322,322,0,0,0
"""HMDB0001358""","""Retinal""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]","[""Adrenal Cortex"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","""binding""",322,322,0,0,0
"""HMDB0014940""","""Alfentanil""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",273,273,0,0,0
"""HMDB0001217""","""4alpha-Methylzymosterol""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]",null,null,"""binding""",928,309,0,0,900
"""HMDB0001442""","""Prostaglandin E1""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood""]","[""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Liver"", ""Neuron"", ""Placenta"", ""Platelet""]","""binding""",271,271,0,0,0
"""HMDB0004080""","""Anandamide""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]",null,"""binding""",211,211,0,0,0
"""HMDB0004666""","""MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","[""All Tissues"", ""Placenta""]","""binding""",910,126,0,0,900
"""HMDB0014466""","""Amitriptyline""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",286,286,0,0,0
"""HMDB0014683""","""Amoxapine""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",214,214,0,0,0
"""HMDB0015267""","""Carvedilol""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",274,274,0,0,0
"""HMDB0014620""","""Chlorpromazine""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",267,267,0,0,0
"""HMDB0014677""","""Ciprofloxacin""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",282,282,0,0,0
"""HMDB0015477""","""Clenbuterol""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",276,276,0,0,0
"""HMDB0000990""","""Acetaldehyde""","""RXFP3""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Mitochondria"", ""Peroxisome""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","[""Adrenal Medulla"", ""Brain"", ""Epidermis"", ""Erythrocyte"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Liver"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Testis"", ""Thyroid Gland""]","""binding""",322,322,0,0,0
"""HMDB0000148""","""L-Glutamic acid""","""GRM8""","""gpcr""","""NeuronchatMetaboliteReceptor""","[""Endoplasmic reticulum"", ""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Blood"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen""]","""activation""",null,null,null,null,null
"""HMDB0000191""","""L-Aspartic acid""","""GRM8""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Mitochondria""]","[""Blood"", ""Breast Milk"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","[""All Tissues"", ""Placenta"", ""Prostate""]","""activation""",800,0,0,0,800
"""HMDB0000148""","""L-Glutamic acid""","""GRM8""","""gpcr""","""StitchMetaboliteReceptor""","[""Endoplasmic reticulum"", ""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Blood"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen""]","""activation""",986,845,0,194,900
"""HMDB0034442""","""L-trans-alpha-Amino-2-carboxycyclopropaneacetic acid""","""GRM8""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular""]",null,null,"""binding""",888,367,0,165,800
"""HMDB0000273""","""Thymidine""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Amniotic Fluid"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Gland"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis"", ""Thyroid Gland""]","""binding""",205,205,0,0,0
"""HMDB0015282""","""Desipramine""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",280,280,0,0,0
"""HMDB0014328""","""Amphetamine""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]","[""Kidney"", ""Liver""]","""binding""",275,275,0,0,0
"""HMDB0014323""","""Valsartan""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""activation""",417,259,0,236,0
"""HMDB0013657""","""2-Arachidonyl Glycerol ether""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]",null,null,"""binding""",205,205,0,0,0
"""HMDB0000975""","""Trehalose""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular""]","[""Feces"", ""Urine""]","[""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Platelet"", ""Skeletal Muscle""]","""binding""",322,322,0,0,0
"""HMDB0040987""","""(-)-Morphine""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular""]",null,null,"""binding""",382,332,101,0,0
"""HMDB0014680""","""Nortriptyline""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]","[""Kidney"", ""Liver""]","""binding""",286,286,0,0,0
"""HMDB0015070""","""Oxymetazoline""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",270,270,0,0,0
"""HMDB0000870""","""Histamine""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","""activation""",374,204,0,236,0
"""HMDB0014600""","""Prazosin""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",366,366,0,0,0
"""HMDB0000220""","""Palmitic acid""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane"", ""Peroxisome""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","[""Adipose Tissue"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","""activation""",467,322,0,236,0
"""HMDB0000050""","""Adenosine""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Blood"", ""Breast Milk"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","[""All Tissues"", ""Placenta""]","""binding""",237,237,0,0,0
"""HMDB0035848""","""Monoacetoxyscirpenol""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular""]",null,null,"""binding""",237,237,0,0,0
"""HMDB0000259""","""Serotonin""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","""binding""",310,310,0,0,0
"""HMDB0000073""","""Dopamine""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","""binding""",274,274,0,0,0
"""HMDB0000123""","""Glycine""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Lysosome"", ""Mitochondria"", ""Peroxisome""]","[""Bile"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","[""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Spleen"", ""Thyroid Gland""]","""binding""",283,283,0,0,0
"""HMDB0014794""","""Trazodone""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",209,209,0,0,0
"""HMDB0014844""","""Tamsulosin""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",325,325,0,0,0
"""HMDB0000169""","""D-Mannose""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Golgi apparatus"", ""Lysosome""]","[""Blood"", ""Breast Milk"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","[""Adrenal Medulla"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","""binding""",322,322,0,0,0
"""HMDB0031404""","""Cyclohexylamine""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular""]","[""Blood"", ""Feces""]",null,"""binding""",307,307,0,0,0
"""HMDB0015559""","""Thioproperazine""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",275,275,0,0,0
"""HMDB0000216""","""Norepinephrine""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Heart"", ""Intestine"", ""Kidney"", ""Leukocyte"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Testis""]","""binding""",249,249,0,0,0
"""HMDB0032477""","""Polyoxyethylene 40 monostearate""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]",null,null,"""binding""",287,287,0,0,0
"""HMDB0008923""","""PE(16:0/16:0)""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Feces""]","[""All Tissues"", ""Brain""]","""binding""",322,322,0,0,0
"""HMDB0000674""","""PA(16:0/16:0)""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood""]",null,"""binding""",322,322,0,0,0
"""HMDB0036565""","""beta-Ionone""","""GPR139""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Saliva""]",null,"""binding""",322,322,0,0,0
